"","franchID","yearID","W","WAR","source"
"1","ATH",1871,NA,9.5,"Baseball Reference"
"2","BNA",1871,20,NA,"Baseball Reference"
"3","BOS",1871,NA,8.4,"Baseball Reference"
"4","CFC",1871,10,NA,"Baseball Reference"
"5","CLE",1871,NA,3.2,"Baseball Reference"
"6","CNA",1871,19,NA,"Baseball Reference"
"7","KEK",1871,7,-0.1,"Baseball Reference"
"8","NNA",1871,16,NA,"Baseball Reference"
"9","NYU",1871,NA,8.2,"Baseball Reference"
"10","OLY",1871,15,8.5,"Baseball Reference"
"11","PNA",1871,21,NA,"Baseball Reference"
"12","ROK",1871,4,3,"Baseball Reference"
"13","TRO",1871,13,3.2,"Baseball Reference"
"14","ATH",1872,NA,16.6,"Baseball Reference"
"15","BAL",1872,NA,16.4,"Baseball Reference"
"16","BLC",1872,35,NA,"Baseball Reference"
"17","BNA",1872,39,NA,"Baseball Reference"
"18","BOS",1872,NA,24.6,"Baseball Reference"
"19","BRA",1872,9,-2.4,"Baseball Reference"
"20","CFC",1872,6,NA,"Baseball Reference"
"21","CLE",1872,NA,1.3,"Baseball Reference"
"22","ECK",1872,3,-2.7,"Baseball Reference"
"23","MAN",1872,5,-3.1,"Baseball Reference"
"24","NAT",1872,0,-4.2,"Baseball Reference"
"25","NNA",1872,34,NA,"Baseball Reference"
"26","NYU",1872,NA,19.7,"Baseball Reference"
"27","OLY",1872,2,-2,"Baseball Reference"
"28","PNA",1872,30,NA,"Baseball Reference"
"29","TRO",1872,15,7.8,"Baseball Reference"
"30","ATH",1873,NA,14.3,"Baseball Reference"
"31","BAL",1873,NA,19,"Baseball Reference"
"32","BLC",1873,34,NA,"Baseball Reference"
"33","BNA",1873,43,NA,"Baseball Reference"
"34","BOS",1873,NA,21.3,"Baseball Reference"
"35","BRA",1873,17,6.6,"Baseball Reference"
"36","MAR",1873,0,-4,"Baseball Reference"
"37","NNA",1873,29,NA,"Baseball Reference"
"38","NYU",1873,NA,15.1,"Baseball Reference"
"39","PHI",1873,NA,13.4,"Baseball Reference"
"40","PNA",1873,28,NA,"Baseball Reference"
"41","PWS",1873,36,NA,"Baseball Reference"
"42","RES",1873,2,-2.7,"Baseball Reference"
"43","WAS",1873,NA,-2.8,"Baseball Reference"
"44","WBL",1873,8,NA,"Baseball Reference"
"45","ATH",1874,NA,15.7,"Baseball Reference"
"46","BAL",1874,NA,-3.3,"Baseball Reference"
"47","BLC",1874,9,NA,"Baseball Reference"
"48","BNA",1874,52,NA,"Baseball Reference"
"49","BOS",1874,NA,26.7,"Baseball Reference"
"50","BRA",1874,22,5.5,"Baseball Reference"
"51","CNA",1874,28,NA,"Baseball Reference"
"52","HAR",1874,NA,6.5,"Baseball Reference"
"53","HNA",1874,16,NA,"Baseball Reference"
"54","NNA",1874,42,NA,"Baseball Reference"
"55","NYU",1874,NA,20.4,"Baseball Reference"
"56","PHI",1874,NA,12.3,"Baseball Reference"
"57","PNA",1874,33,NA,"Baseball Reference"
"58","PWS",1874,29,NA,"Baseball Reference"
"59","ATH",1875,NA,27.5,"Baseball Reference"
"60","BNA",1875,71,NA,"Baseball Reference"
