"","franchID","yearID","W","WAR","source"
"1","BNA",1871,20,NA,"Baseball Reference"
"2","CNA",1871,19,NA,"Baseball Reference"
"3","CFC",1871,10,NA,"Baseball Reference"
"4","KEK",1871,7,-0.1,"Baseball Reference"
"5","NNA",1871,16,NA,"Baseball Reference"
"6","PNA",1871,21,NA,"Baseball Reference"
"7","ROK",1871,4,3,"Baseball Reference"
"8","TRO",1871,13,3.2,"Baseball Reference"
"9","OLY",1871,15,8.5,"Baseball Reference"
"10","BLC",1872,35,NA,"Baseball Reference"
"11","ECK",1872,3,-2.7,"Baseball Reference"
"12","BRA",1872,9,-2.4,"Baseball Reference"
"13","BNA",1872,39,NA,"Baseball Reference"
"14","CFC",1872,6,NA,"Baseball Reference"
"15","MAN",1872,5,-3.1,"Baseball Reference"
"16","NNA",1872,34,NA,"Baseball Reference"
"17","PNA",1872,30,NA,"Baseball Reference"
"18","TRO",1872,15,7.8,"Baseball Reference"
"19","OLY",1872,2,-2,"Baseball Reference"
"20","NAT",1872,0,-4.2,"Baseball Reference"
"21","BLC",1873,34,NA,"Baseball Reference"
"22","MAR",1873,0,-4,"Baseball Reference"
"23","BRA",1873,17,6.6,"Baseball Reference"
"24","BNA",1873,43,NA,"Baseball Reference"
"25","RES",1873,2,-2.7,"Baseball Reference"
"26","NNA",1873,29,NA,"Baseball Reference"
"27","PNA",1873,28,NA,"Baseball Reference"
"28","PWS",1873,36,NA,"Baseball Reference"
"29","WBL",1873,8,NA,"Baseball Reference"
"30","BLC",1874,9,NA,"Baseball Reference"
"31","BRA",1874,22,5.5,"Baseball Reference"
"32","BNA",1874,52,NA,"Baseball Reference"
"33","CNA",1874,28,NA,"Baseball Reference"
"34","HNA",1874,16,NA,"Baseball Reference"
"35","NNA",1874,42,NA,"Baseball Reference"
"36","PNA",1874,33,NA,"Baseball Reference"
"37","PWS",1874,29,NA,"Baseball Reference"
"38","BRA",1875,2,-9.5,"Baseball Reference"
"39","BNA",1875,71,NA,"Baseball Reference"
"40","CNA",1875,30,NA,"Baseball Reference"
"41","HNA",1875,54,NA,"Baseball Reference"
"42","WES",1875,1,-0.8,"Baseball Reference"
"43","NHV",1875,7,-1.5,"Baseball Reference"
"44","NNA",1875,30,NA,"Baseball Reference"
"45","PNA",1875,53,NA,"Baseball Reference"
"46","PWS",1875,37,NA,"Baseball Reference"
"47","CEN",1875,2,-1.7,"Baseball Reference"
"48","SLR",1875,4,-1.8,"Baseball Reference"
"49","SNA",1875,39,NA,"Baseball Reference"
"50","WNT",1875,5,NA,"Baseball Reference"
"51","ATL",1876,39,NA,"Baseball Reference"
"52","CHC",1876,52,33.8,"Baseball Reference"
"53","CNR",1876,9,NA,"Baseball Reference"
"54","HAR",1876,47,24,"Baseball Reference"
"55","LGR",1876,30,NA,"Baseball Reference"
"56","NYU",1876,21,-0.2,"Baseball Reference"
"57","ATH",1876,14,-1.8,"Baseball Reference"
"58","SBS",1876,45,NA,"Baseball Reference"
"59","ATL",1877,42,NA,"Baseball Reference"
"60","CHC",1877,26,7.7,"Baseball Reference"
"61","CNR",1877,15,NA,"Baseball Reference"
"62","HAR",1877,31,13.2,"Baseball Reference"
"63","LGR",1877,35,NA,"Baseball Reference"
"64","SBS",1877,28,NA,"Baseball Reference"
"65","ATL",1878,41,NA,"Baseball Reference"
"66","CHC",1878,30,14.6,"Baseball Reference"
"67","CNR",1878,37,NA,"Baseball Reference"
"68","IBL",1878,24,NA,"Baseball Reference"
"69","MLG",1878,15,6.9,"Baseball Reference"
"70","PRO",1878,33,11.2,"Baseball Reference"
"71","BUF",1879,46,20.6,"Baseball Reference"
"72","ATL",1879,54,NA,"Baseball Reference"
"73","CHC",1879,46,17.8,"Baseball Reference"
"74","CBL",1879,27,NA,"Baseball Reference"
"75","CNR",1879,43,NA,"Baseball Reference"
"76","PRO",1879,59,33.9,"Baseball Reference"
"77","SYR",1879,22,1.5,"Baseball Reference"
"78","TRT",1879,19,NA,"Baseball Reference"
"79","BUF",1880,24,1.8,"Baseball Reference"
"80","ATL",1880,40,NA,"Baseball Reference"
"81","CHC",1880,67,30.8,"Baseball Reference"
"82","CBL",1880,47,NA,"Baseball Reference"
"83","CNR",1880,21,NA,"Baseball Reference"
"84","PRO",1880,52,28.6,"Baseball Reference"
"85","TRT",1880,41,NA,"Baseball Reference"
"86","WOR",1880,40,17.3,"Baseball Reference"
"87","BUF",1881,45,16,"Baseball Reference"
"88","ATL",1881,38,NA,"Baseball Reference"
"89","CHC",1881,56,25.3,"Baseball Reference"
"90","CBL",1881,36,NA,"Baseball Reference"
"91","DTN",1881,41,19.7,"Baseball Reference"
"92","PRO",1881,47,16,"Baseball Reference"
"93","TRT",1881,39,NA,"Baseball Reference"
"94","WOR",1881,32,8.9,"Baseball Reference"
"95","BUF",1882,45,19.5,"Baseball Reference"
"96","BLO",1882,19,NA,"Baseball Reference"
"97","ATL",1882,45,NA,"Baseball Reference"
"98","CHC",1882,55,30.8,"Baseball Reference"
"99","CBL",1882,42,NA,"Baseball Reference"
"100","CIN",1882,55,24.5,"Baseball Reference"
"101","DTN",1882,42,12.7,"Baseball Reference"
"102","LOU",1882,42,17.5,"Baseball Reference"
"103","PHA",1882,41,9.1,"Baseball Reference"
"104","PRO",1882,52,23.7,"Baseball Reference"
"105","PIT",1882,39,13.2,"Baseball Reference"
"106","STL",1882,37,0.3,"Baseball Reference"
"107","TRT",1882,35,NA,"Baseball Reference"
"108","WOR",1882,18,-3.1,"Baseball Reference"
"109","BUF",1883,52,21.7,"Baseball Reference"
"110","BLO",1883,28,NA,"Baseball Reference"
"111","ATL",1883,63,NA,"Baseball Reference"
"112","CHC",1883,59,21.6,"Baseball Reference"
"113","CBL",1883,55,NA,"Baseball Reference"
"114","CBK",1883,32,NA,"Baseball Reference"
"115","CIN",1883,61,25,"Baseball Reference"
"116","DTN",1883,40,13.2,"Baseball Reference"
"117","LOU",1883,52,11.5,"Baseball Reference"
"118","SFG",1883,46,NA,"Baseball Reference"
"119","NYP",1883,54,26.2,"Baseball Reference"
"120","PHA",1883,66,14.6,"Baseball Reference"
"121","PHI",1883,17,-8.2,"Baseball Reference"
"122","PRO",1883,58,31.4,"Baseball Reference"
"123","PIT",1883,31,1.3,"Baseball Reference"
"124","STL",1883,65,25.8,"Baseball Reference"
"125","ALT",1884,6,-5.4,"Baseball Reference"
"126","BUF",1884,64,30.6,"Baseball Reference"
"127","BLO",1884,63,NA,"Baseball Reference"
"128","BLU",1884,58,-1.1,"Baseball Reference"
"129","LAD",1884,40,NA,"Baseball Reference"
"130","ATL",1884,73,NA,"Baseball Reference"
"131","BRD",1884,58,NA,"Baseball Reference"
"132","CHC",1884,62,34,"Baseball Reference"
"133","CPI",1884,41,1,"Baseball Reference"
"134","CBL",1884,35,NA,"Baseball Reference"
"135","CBK",1884,69,NA,"Baseball Reference"
"136","CIN",1884,68,21.3,"Baseball Reference"
"137","COR",1884,69,16.6,"Baseball Reference"
"138","DTN",1884,28,-0.4,"Baseball Reference"
"139","IHO",1884,29,NA,"Baseball Reference"
"140","KCU",1884,16,NA,"Baseball Reference"
"141","LOU",1884,68,32,"Baseball Reference"
"142","MLU",1884,8,NA,"Baseball Reference"
"143","SFG",1884,62,NA,"Baseball Reference"
"144","NYP",1884,75,31.5,"Baseball Reference"
"145","PHA",1884,61,21.7,"Baseball Reference"
"146","PHI",1884,39,-0.5,"Baseball Reference"
"147","PHK",1884,21,-11.5,"Baseball Reference"
"148","PRO",1884,84,44.2,"Baseball Reference"
"149","PIT",1884,30,-11.7,"Baseball Reference"
"150","RIC",1884,12,-2.2,"Baseball Reference"
"151","STL",1884,67,16.6,"Baseball Reference"
"152","SLM",1884,94,33,"Baseball Reference"
"153","STP",1884,2,-0.7,"Baseball Reference"
"154","TOL",1884,46,10.8,"Baseball Reference"
"155","WIL",1884,2,-3.9,"Baseball Reference"
"156","WST",1884,12,NA,"Baseball Reference"
"157","WNA",1884,47,NA,"Baseball Reference"
"158","BUF",1885,38,4.4,"Baseball Reference"
"159","BLO",1885,41,NA,"Baseball Reference"
"160","LAD",1885,53,NA,"Baseball Reference"
"161","ATL",1885,46,NA,"Baseball Reference"
"162","CHC",1885,87,40,"Baseball Reference"
"163","CIN",1885,63,18.4,"Baseball Reference"
"164","DTN",1885,41,20.2,"Baseball Reference"
"165","LOU",1885,53,14.9,"Baseball Reference"
"166","SFG",1885,85,NA,"Baseball Reference"
"167","NYP",1885,44,7.9,"Baseball Reference"
"168","PHA",1885,55,14,"Baseball Reference"
"169","PHI",1885,56,23.2,"Baseball Reference"
"170","PRO",1885,53,18.4,"Baseball Reference"
"171","PIT",1885,56,20.5,"Baseball Reference"
"172","STL",1885,79,25.7,"Baseball Reference"
"173","SLM",1885,36,11,"Baseball Reference"
"174","BLO",1886,48,NA,"Baseball Reference"
"175","LAD",1886,76,NA,"Baseball Reference"
"176","ATL",1886,56,NA,"Baseball Reference"
"177","CHC",1886,90,43.7,"Baseball Reference"
"178","CIN",1886,65,15,"Baseball Reference"
"179","DTN",1886,87,45.4,"Baseball Reference"
"180","KCN",1886,30,-0.9,"Baseball Reference"
"181","LOU",1886,66,23.6,"Baseball Reference"
"182","SFG",1886,75,NA,"Baseball Reference"
"183","NYP",1886,53,11.7,"Baseball Reference"
"184","PHA",1886,63,5.9,"Baseball Reference"
"185","PHI",1886,71,32.3,"Baseball Reference"
"186","PIT",1886,80,34.2,"Baseball Reference"
"187","STL",1886,93,43.3,"Baseball Reference"
"188","SLM",1886,43,13.1,"Baseball Reference"
"189","WNL",1886,28,NA,"Baseball Reference"
"190","BLO",1887,77,NA,"Baseball Reference"
"191","LAD",1887,60,NA,"Baseball Reference"
"192","ATL",1887,61,NA,"Baseball Reference"
"193","CHC",1887,71,34.2,"Baseball Reference"
"194","CLV",1887,39,NA,"Baseball Reference"
"195","CIN",1887,81,28.2,"Baseball Reference"
"196","DTN",1887,79,36.2,"Baseball Reference"
"197","IND",1887,37,5.4,"Baseball Reference"
"198","LOU",1887,76,26.3,"Baseball Reference"
"199","SFG",1887,68,NA,"Baseball Reference"
"200","NYP",1887,44,-1.7,"Baseball Reference"
"201","PHA",1887,64,17.8,"Baseball Reference"
"202","PHI",1887,75,33.7,"Baseball Reference"
"203","PIT",1887,55,20.4,"Baseball Reference"
"204","STL",1887,95,35.6,"Baseball Reference"
"205","WNL",1887,46,NA,"Baseball Reference"
"206","BLO",1888,57,NA,"Baseball Reference"
"207","LAD",1888,88,NA,"Baseball Reference"
"208","ATL",1888,70,NA,"Baseball Reference"
"209","CHC",1888,77,31.1,"Baseball Reference"
"210","CLV",1888,50,NA,"Baseball Reference"
"211","CIN",1888,80,27.3,"Baseball Reference"
"212","DTN",1888,68,32.5,"Baseball Reference"
"213","IND",1888,50,15.2,"Baseball Reference"
"214","KCC",1888,43,-6.4,"Baseball Reference"
"215","LOU",1888,48,4.4,"Baseball Reference"
"216","SFG",1888,84,NA,"Baseball Reference"
"217","PHA",1888,81,31.2,"Baseball Reference"
"218","PHI",1888,69,29.8,"Baseball Reference"
"219","PIT",1888,66,23.2,"Baseball Reference"
"220","STL",1888,92,39,"Baseball Reference"
"221","WNL",1888,48,NA,"Baseball Reference"
"222","BLO",1889,70,NA,"Baseball Reference"
"223","LAD",1889,93,NA,"Baseball Reference"
"224","ATL",1889,83,NA,"Baseball Reference"
"225","CHC",1889,67,30.7,"Baseball Reference"
"226","CLV",1889,61,25.5,"Baseball Reference"
"227","CLS",1889,60,NA,"Baseball Reference"
"228","CIN",1889,76,32.1,"Baseball Reference"
"229","IND",1889,59,19.8,"Baseball Reference"
"230","KCC",1889,55,0.5,"Baseball Reference"
"231","LOU",1889,27,-7.7,"Baseball Reference"
"232","SFG",1889,83,NA,"Baseball Reference"
"233","PHA",1889,75,30,"Baseball Reference"
"234","PHI",1889,63,26.3,"Baseball Reference"
"235","PIT",1889,61,20.3,"Baseball Reference"
"236","STL",1889,90,35.8,"Baseball Reference"
"237","WNL",1889,41,NA,"Baseball Reference"
"238","BFB",1890,36,NA,"Baseball Reference"
"239","BLO",1890,15,NA,"Baseball Reference"
"240","BRG",1890,26,-6.8,"Baseball Reference"
"241","LAD",1890,86,NA,"Baseball Reference"
"242","BWW",1890,76,18.4,"Baseball Reference"
"243","ATL",1890,76,NA,"Baseball Reference"
"244","BRS",1890,81,NA,"Baseball Reference"
"245","CHC",1890,83,36.1,"Baseball Reference"
"246","CHP",1890,75,NA,"Baseball Reference"
"247","CIN",1890,77,40,"Baseball Reference"
"248","CLV",1890,44,12.3,"Baseball Reference"
"249","CLS",1890,79,NA,"Baseball Reference"
"250","CLI",1890,55,NA,"Baseball Reference"
"251","LOU",1890,88,40.6,"Baseball Reference"
"252","SFG",1890,63,NA,"Baseball Reference"
"253","NYI",1890,74,20.9,"Baseball Reference"
"254","PHA",1890,54,0.8,"Baseball Reference"
"255","PHI",1890,78,38.4,"Baseball Reference"
"256","PHQ",1890,68,19.4,"Baseball Reference"
"257","PIT",1890,23,-17.2,"Baseball Reference"
"258","PBB",1890,60,16.2,"Baseball Reference"
"259","ROC",1890,63,17.1,"Baseball Reference"
"260","STL",1890,78,28.1,"Baseball Reference"
