"","ANA","BAL","BOS","CHW","CLE","DET","KCR","MIN","NYY","OAK","SEA","TBD","TEX","TOR","ARI","ATL","CHC","CIN","COL","FLA","HOU","LAD","MIL","WSN","NYM","PHI","PIT","STL","SDP","SFG"
"1",0,22.4,43.8,19.3,38.3,29.9,0,10.1,27.9,33.4,0,0,0,0,0,13.7,36.4,37.7,0,0,0,33.3,0,0,0,16.8,46.9,12.6,0,37.6
"2",0,20.9,40.4,39.6,43.9,16.5,0,9.6,44.1,39.3,0,0,0,0,0,10.9,36.4,40.2,0,0,0,19.3,0,0,0,18.4,39.7,36.7,0,54.9
"3",0,21.1,34.2,42.1,35.2,24.3,0,21.7,29.8,44,0,0,0,0,0,9.8,42.5,36.5,0,0,0,12.2,0,0,0,33.1,41.4,18.5,0,61.4
"4",0,36.3,19.7,36.5,51.7,16.3,0,19.1,37.6,37.5,0,0,0,0,0,12.3,54.8,30,0,0,0,21.3,0,0,0,25.7,44.6,22.2,0,47.9
"5",0,32.5,27.5,37,35.7,34.5,0,28.4,23.3,41.9,0,0,0,0,0,21.9,47.5,29.8,0,0,0,20.2,0,0,0,28.4,41.5,16.8,0,42.1
"6",0,36.7,34.4,39.1,38.5,40.5,0,31.2,15,28.6,0,0,0,0,0,24.2,45.9,24.9,0,0,0,13.7,0,0,0,36.7,39.4,14,0,56.2
"7",0,18.7,38.3,31.8,32.8,45.7,0,18.6,26.8,47.9,0,0,0,0,0,13.5,47.1,38.5,0,0,0,15.4,0,0,0,31,53.1,24.2,0,47.3
"8",0,12.9,43.8,24.7,30.4,34.9,0,31.3,40.4,52.6,0,0,0,0,0,20.5,46.5,31.5,0,0,0,16.5,0,0,0,34.1,37.8,25.8,0,51.1
"9",0,14.9,38.6,37.7,34.9,35.9,0,22.3,37.6,45.8,0,0,0,0,0,17.3,43.1,32.2,0,0,0,18.8,0,0,0,32,44.1,27.5,0,56
"10",0,24.7,48.6,30.9,35,34.2,0,37.8,25.8,45.6,0,0,0,0,0,25.9,41.6,27.6,0,0,0,24.5,0,0,0,31,44.7,24.7,0,51.7
"11",0,25.3,39.3,26.8,38.2,33.3,0,35.8,21.9,47.3,0,0,0,0,0,32.5,38,29.7,0,0,0,34.7,0,0,0,38.7,33.8,20.2,0,48.9
"12",0,22.3,40.8,32.8,23.6,38.8,0,33.9,28.3,47,0,0,0,0,0,37.7,31.3,27.9,0,0,0,33.6,0,0,0,32,27.8,34.8,0,43.6
"13",0,24.4,43.2,50.8,32.2,49.1,0,37.3,29.1,12.6,0,0,0,0,0,40.4,29.3,29.7,0,0,0,18.7,0,0,0,42.4,36,32.7,0,30.3
"14",0,33.6,34.6,42.7,37.6,37.4,0,34,35.8,15.3,0,0,0,0,0,36.8,34.4,28.5,0,0,0,42.8,0,0,0,38.7,28.7,17.7,0,40.5
"15",0,21.7,37.6,40.9,38.6,36.2,0,29.6,32.4,26.8,0,0,0,0,0,34.8,27.6,33.4,0,0,0,25.8,0,0,0,39.3,24.3,32.8,0,46.7
"16",0,26.3,33.4,28.1,35.1,22.6,0,31.4,23.8,14.2,0,0,0,0,0,22.3,38.2,30.6,0,0,0,17.7,0,0,0,16.3,32.9,26.1,0,30.5
"17",0,23.6,30.2,44.2,41.4,31.4,0,29.2,32.3,14.3,0,0,0,0,0,25.9,34.4,38.7,0,0,0,27.5,0,0,0,20.3,31.6,23.1,0,38.3
"18",0,40,30.7,42.1,52.1,20.9,0,27.2,44.4,15.6,0,0,0,0,0,20.3,31.1,34.1,0,0,0,39.4,0,0,0,22.3,33.4,37,0,42.8
"19",0,33.6,24.3,25.1,49,36.8,0,29.3,52.1,19.8,0,0,0,0,0,29.7,25.5,29.2,0,0,0,26.5,0,0,0,21.5,39.1,43.7,0,46.3
"20",0,53.2,14.3,31.9,38.7,39.7,0,26.2,41.6,18.2,0,0,0,0,0,11.4,32.1,41.3,0,0,0,23.9,0,0,0,26.3,43,36.5,0,48.9
"21",0,29.7,10.8,34.1,48.8,42.1,0,29.7,45.9,19.1,0,0,0,0,0,19.4,34.7,42.2,0,0,0,33.6,0,0,0,19.1,42.1,33.9,0,42.9
"22",0,28.8,25,32.4,37.1,41.5,0,43.4,36.6,20.5,0,0,0,0,0,13.6,25.5,44.2,0,0,0,41.9,0,0,0,20.6,45.8,32,0,45.7
"23",0,26.5,19.5,35.2,37.9,40.4,0,44.8,31.2,40.7,0,0,0,0,0,27.2,24.8,41.9,0,0,0,30.7,0,0,0,23.9,47,39.1,0,31.3
"24",0,15.3,18.8,40,37.4,32.6,0,33.7,45.1,37.2,0,0,0,0,0,20.4,39.2,49.5,0,0,0,22.4,0,0,0,21.4,39.7,42.1,0,33.4
"25",0,15.4,14.2,29.5,25.3,33.7,0,37.5,66.3,45.7,0,0,0,0,0,19,38.9,36.1,0,0,0,19.7,0,0,0,18.1,45.8,42.9,0,44.6
"26",0,29.4,22.3,21.5,28.8,25.3,0,39.7,47.3,48.9,0,0,0,0,0,18.9,42,29,0,0,0,31.3,0,0,0,11.5,43.1,43.2,0,48.2
"27",0,30,18.5,16.8,32.4,37,0,34.7,45.2,48.7,0,0,0,0,0,17.4,49.9,28.1,0,0,0,29.2,0,0,0,29,39.2,33.2,0,41.6
"28",0,18.9,16.1,26.7,33.2,31,0,49.6,49.2,47.8,0,0,0,0,0,14.5,44.5,24.3,0,0,0,42.4,0,0,0,16.7,28.4,46.5,0,45
"29",0,23.2,21.1,11.6,38.5,22.9,0,39.5,59,51.9,0,0,0,0,0,19.4,43.2,23.2,0,0,0,33.2,0,0,0,26,28.4,43.3,0,42.2
"30",0,22.7,14.5,17.2,40.9,29.6,0,39.3,54.4,51.4,0,0,0,0,0,24.6,36.9,29.6,0,0,0,39.8,0,0,0,37.1,32.3,31.8,0,26.9
"31",0,16.2,28.6,26.2,25.4,31.8,0,45,48.6,35.3,0,0,0,0,0,27.7,40.7,21,0,0,0,25.9,0,0,0,24.9,39.9,38.9,0,38.7
"32",0,16.7,32,16,39.9,51.3,0,31.8,48.9,31,0,0,0,0,0,25.9,37.4,21.3,0,0,0,34.5,0,0,0,22.4,32.6,43.7,0,40.9
"33",0,21.2,34.1,27.6,38.9,49,0,28.5,41.8,26.9,0,0,0,0,0,10.4,49.4,27.6,0,0,0,29.8,0,0,0,15,43.1,44.4,0,38.2
"34",0,14.5,29.9,33.7,41.3,39.2,0,36.6,53.8,13.6,0,0,0,0,0,25.5,42.5,32.8,0,0,0,24,0,0,0,26.9,40.8,35.1,0,40.9
"35",0,20,31.8,32.9,36.4,41,0,29.6,53.4,23.3,0,0,0,0,0,28.2,42.4,28.8,0,0,0,27,0,0,0,21.7,39.2,33.1,0,42.5
"36",0,21.5,42,27.8,37.9,32.2,0,35.3,51.7,19.8,0,0,0,0,0,23.2,38.7,39.8,0,0,0,29.5,0,0,0,13.9,42,34.4,0,36.9
"37",0,15.8,41.2,35.2,37.1,42.5,0,33.3,59.5,14.8,0,0,0,0,0,24.4,33.4,46.3,0,0,0,37.8,0,0,0,14.3,32.4,48,0,33
"38",0,22.6,37.7,34.1,38.7,48.2,0,24,39.3,20.8,0,0,0,0,0,21.5,38.6,47,0,0,0,38.1,0,0,0,20,37.5,39.2,0,30.3
"39",0,32.7,44.2,29.7,33.3,34.5,0,28.9,49.4,27.9,0,0,0,0,0,22.4,36.1,32.1,0,0,0,54.3,0,0,0,13.7,36.1,46.2,0,29.8
"40",0,38.4,48.5,22.4,30.1,29.6,0,27.3,56.8,14.6,0,0,0,0,0,21.6,33.4,33.9,0,0,0,46.5,0,0,0,8.8,28.2,54,0,35.3
"41",0,30.9,24.9,29.2,37.8,39.6,0,38.1,51.1,15,0,0,0,0,0,22,42,32.4,0,0,0,35,0,0,0,27.5,41.2,56.8,0,17.7
"42",0,34.8,34.7,21.3,37.2,41.5,0,27.4,39.6,29.8,0,0,0,0,0,23.9,35.1,36.7,0,0,0,23.7,0,0,0,31,39.3,59.5,0,24.4
"43",0,30.6,30.9,26.1,33.5,39.4,0,38.5,43.7,21.5,0,0,0,0,0,31.6,52.2,17.9,0,0,0,40.4,0,0,0,15.3,42.1,43,0,37.3
"44",0,26.9,54.7,27.8,30.7,48.1,0,27.9,47.8,20.8,0,0,0,0,0,36.5,35.4,32.2,0,0,0,44,0,0,0,25.3,30.8,45.8,0,26.9
"45",0,20,44.6,23.9,37.5,43.2,0,20.8,47.2,32.5,0,0,0,0,0,41.4,23.3,27.2,0,0,0,45.6,0,0,0,29.8,27.4,42.4,0,39.7
"46",0,22.7,51.5,14.8,57.2,37.5,0,11.4,45.8,30.9,0,0,0,0,0,50.9,29.1,22.6,0,0,0,35.5,0,0,0,24.5,33.1,40.3,0,33.8
"47",0,18,55.9,27.8,41.9,39.4,0,19.4,40,32,0,0,0,0,0,33.8,24.7,20.2,0,0,0,50.6,0,0,0,30.6,28.3,49.3,0,36.6
"48",0,14.5,51,26.1,42.2,44.3,0,26.9,47.3,20.9,0,0,0,0,0,37.1,23.2,22.6,0,0,0,45.4,0,0,0,36.6,28.6,35.6,0,39.9
"49",0,14.3,45,42,40.6,31.4,0,22.9,47.8,36.4,0,0,0,0,0,35,22.9,20.1,0,0,0,52,0,0,0,34.8,27.6,39.9,0,45.4
"50",0,27.5,34.6,39.6,46.9,25.3,0,26.4,50.4,32.3,0,0,0,0,0,22.6,36.1,26,0,0,0,48,0,0,0,45.8,14.3,44.7,0,38
"51",0,25.7,35.4,34.2,46.3,28,0,33.9,48,25.2,0,0,0,0,0,37.9,22.8,24.7,0,0,0,56.6,0,0,0,38.9,17.8,41.7,0,30.1
"52",0,20.1,40.6,50.3,51.4,26.8,0,29.7,49,5.5,0,0,0,0,0,36.5,31.6,26.4,0,0,0,45.7,0,0,0,39.5,18,37.5,0,43.3
"53",0,20.3,47.6,49.8,44.4,41.2,0,20.4,49.7,15.3,0,0,0,0,0,35.7,26.8,42.5,0,0,0,52.1,0,0,0,38.9,19.4,26,0,29.9
"54",0,30.3,48.7,47.6,39.6,44.2,0,13.2,49.3,12.9,0,0,0,0,0,41.6,22.5,44.2,0,0,0,46.9,0,0,0,30.8,24.6,36.7,0,27.8
"55",0,41.4,46.3,45.7,27.4,33.9,0,16.1,47.3,19.5,0,0,0,0,0,45.1,25.8,36.4,0,0,0,40,0,0,0,34.1,30.5,38.8,0,28.4
"56",0,32.3,41.7,34,36.5,40.5,0,16.8,49.3,28.7,0,0,0,0,0,47.9,35.2,35.6,0,0,0,23.3,0,0,0,35.2,39.4,29.6,0,34.2
"57",0,32.4,35.6,41.7,37.9,38.8,0,27.3,38.5,28.5,0,0,0,0,0,44,33.2,38,0,0,0,37.5,0,0,0,23,33.2,34.8,0,38
"58",0,42,30.4,43.8,29.6,35.8,0,31.4,44.4,21.1,0,0,0,0,0,37.6,23,35.1,0,0,0,38.2,0,0,0,21.5,52.1,36.7,0,36.6
"59",32,46.4,26.2,37.6,31.2,54.2,0,34.8,54,24.1,0,0,28.2,0,0,39.4,26.4,42,0,0,0,34.9,0,0,0,19,39,41.8,0,38.2
"60",32.9,35.4,33.6,39.3,27.3,37.7,0,45.9,47.4,26.4,0,0,26.6,0,0,42.6,22.1,42.3,0,0,29,47.4,0,0,13.6,31.2,40.6,45.9,0,51.5
"61",27.8,35.3,37.6,48.7,29.7,34.6,0,50,48.3,25.6,0,0,13.2,0,0,39.5,35.2,44,0,0,23.5,42.4,0,0,7.2,40.9,37.3,53.1,0,46.2
"62",36.2,47.1,33.9,47.9,29.9,40.8,0,46.3,45.5,15.2,0,0,17.5,0,0,44.1,33.7,44,0,0,20.1,39.6,0,0,18.3,37.8,41.2,43.4,0,39.5
"63",32.3,42.7,35.4,42.8,44.5,38.3,0,45.3,32.2,21,0,0,15.6,0,0,45.7,27.9,50.8,0,0,30.6,42,0,0,10.8,38.2,48,34.9,0,44.6
"64",27.8,49.9,32.6,39.8,33.7,36.6,0,47,33.4,25.8,0,0,27.3,0,0,48.6,28,27.5,0,0,32.8,48.5,0,0,11.7,37.4,48.8,36.5,0,44.6
"65",30.8,41.1,48.8,36.9,31.6,48,0,43.9,25.5,25.2,0,0,24.5,0,0,36.8,40.2,35.2,0,0,33.6,30.1,0,0,19.3,39.9,37,48.4,0,45.1
"66",23,46.8,41.2,27,38.7,53.3,0,41.4,29.7,34.6,0,0,16.9,0,0,39.8,35.6,36.8,0,0,27.7,32.9,0,0,33.3,25.1,44,44.7,0,42.4
"67",24.5,65.4,41.5,27.6,23.7,43.2,29.2,53.9,34.6,40.6,0,0,36,0,0,41.5,46.1,38.2,0,0,40.3,41.7,20.4,20.4,39.7,26.1,52.3,41.7,14,43.9
"68",31.8,58,49,20.7,33,30,26.9,49.4,39.3,43.1,0,0,32.3,0,0,38.1,48.3,49.9,0,0,33,37.3,27.2,28.2,43.1,24.9,44.8,38.8,25.9,38.3
"69",26.6,56.8,42.4,45,14.9,43.3,37.9,33.3,37.3,49.2,0,0,16.8,0,0,29.4,41,33.7,0,0,35.3,42.6,25.7,23.2,43.4,25.8,51.4,40.2,25,42.4
"70",27.2,42.3,38,34.3,25.3,36.3,41.4,38.4,35.9,47.2,0,0,14.4,0,0,31.5,43.9,44.6,0,0,36.9,45.4,24.7,23.7,26.8,27.8,51.6,38.5,12,32.6
"71",27.6,55.2,44.8,26.5,18.8,30.7,30.2,44.1,36.1,47.2,0,0,13.5,0,0,45.3,30.1,46.1,0,0,35.6,45.1,30.7,36.1,34.9,24,36.2,42.3,13.1,40
"72",31.9,43.4,40.9,34.9,28.5,18.2,33.3,40.1,39.7,49.7,0,0,38.2,0,0,47,25.5,56.7,0,0,37.5,60.7,26,40.8,30.5,33.9,47.6,39.8,13.1,25.8
"73",22.1,45.9,44.3,24.7,30.9,13.7,40.5,33.1,42.8,53,0,0,30.7,0,0,21.7,27.2,55.4,0,0,27.6,52.6,17.2,27.4,38.5,49.5,48.1,36.8,20.4,29.9
"74",26.3,36.5,38,20.6,34.7,23.4,40.4,39.1,52.8,39.8,0,0,29.3,0,0,22.3,26.7,60.5,0,0,31.4,42.1,17.5,17.9,47.4,56.4,44.1,30.2,28.9,25.4
"75",29.7,41.3,47.5,32.9,32.7,29.8,50.5,34.2,53.2,17.5,16.3,0,48.4,12.1,0,14.5,34,44.1,0,0,41.8,55,21.2,34.9,32,57.3,45.8,30.7,22.8,30.6
