"","franchID","year","WAR"
"ANA","ANA",1961,32
"ANA1","ANA",1962,32.9
"ANA2","ANA",1963,27.8
"ANA3","ANA",1964,36.2
"ANA4","ANA",1965,32.3
"ANA5","ANA",1966,27.8
"ANA6","ANA",1967,30.8
"ANA7","ANA",1968,23
"ANA8","ANA",1969,24.5
"ANA9","ANA",1970,31.8
"ANA10","ANA",1971,26.6
"ANA11","ANA",1972,27.2
"ANA12","ANA",1973,27.6
"ANA13","ANA",1974,31.9
"ANA14","ANA",1975,22.1
"ANA15","ANA",1976,26.3
"ANA16","ANA",1977,29.7
"ANA17","ANA",1978,30
"ANA18","ANA",1979,39.8
"ANA19","ANA",1980,20
"ANA20","ANA",1981,24
"ANA21","ANA",1982,53.7
"ANA22","ANA",1983,28.2
"ANA23","ANA",1984,31.6
"ANA24","ANA",1985,35.5
"ANA25","ANA",1986,50.3
"ANA26","ANA",1987,32.7
"ANA27","ANA",1988,28.8
"ANA28","ANA",1989,42.3
"ANA29","ANA",1990,36.7
"ANA30","ANA",1991,26.4
"ANA31","ANA",1992,18.9
"ANA32","ANA",1993,20.4
"ANA33","ANA",1994,14.9
"ANA34","ANA",1995,38.8
"ANA35","ANA",1996,25
"ANA36","ANA",1997,32.9
"ANA37","ANA",1998,25.6
"ANA38","ANA",1999,22.9
"ANA39","ANA",2000,36
"ANA40","ANA",2001,31.6
"ANA41","ANA",2002,46.2
"ANA42","ANA",2003,35.9
"ANA43","ANA",2004,46.4
"ANA44","ANA",2005,43.2
"ANA45","ANA",2006,40.1
"ANA46","ANA",2007,45.5
"ANA47","ANA",2008,38.9
"ANA48","ANA",2009,45.3
"ANA49","ANA",2010,31.9
"ANA50","ANA",2011,40.4
"ANA51","ANA",2012,47.2
"ANA52","ANA",2013,36.1
"ANA53","ANA",2014,48.3
"ANA54","ANA",2015,33.8
"ANA55","ANA",2016,27.5
"ANA56","ANA",2017,34.4
"BAL","BAL",1903,22.4
"BAL1","BAL",1904,20.9
"BAL2","BAL",1905,21.1
"BAL3","BAL",1906,36.3
"BAL4","BAL",1907,32.5
"BAL5","BAL",1908,36.7
"BAL6","BAL",1909,18.7
"BAL7","BAL",1910,12.9
"BAL8","BAL",1911,14.9
"BAL9","BAL",1912,24.7
"BAL10","BAL",1913,25.3
"BAL11","BAL",1914,22.3
"BAL12","BAL",1915,24.4
"BAL13","BAL",1916,33.6
"BAL14","BAL",1917,21.7
"BAL15","BAL",1918,26.3
"BAL16","BAL",1919,23.6
"BAL17","BAL",1920,40
"BAL18","BAL",1921,33.6
"BAL19","BAL",1922,53.2
"BAL20","BAL",1923,29.7
"BAL21","BAL",1924,28.8
"BAL22","BAL",1925,26.5
"BAL23","BAL",1926,15.3
"BAL24","BAL",1927,15.4
"BAL25","BAL",1928,29.4
"BAL26","BAL",1929,30
"BAL27","BAL",1930,18.9
"BAL28","BAL",1931,23.2
"BAL29","BAL",1932,22.7
"BAL30","BAL",1933,16.2
"BAL31","BAL",1934,16.7
"BAL32","BAL",1935,21.2
"BAL33","BAL",1936,14.5
"BAL34","BAL",1937,20
"BAL35","BAL",1938,21.5
"BAL36","BAL",1939,15.8
"BAL37","BAL",1940,22.6
"BAL38","BAL",1941,32.7
"BAL39","BAL",1942,38.4
"BAL40","BAL",1943,30.9
"BAL41","BAL",1944,34.8
"BAL42","BAL",1945,30.6
"BAL43","BAL",1946,26.9
"BAL44","BAL",1947,20
"BAL45","BAL",1948,22.7
"BAL46","BAL",1949,18
"BAL47","BAL",1950,14.5
"BAL48","BAL",1951,14.3
"BAL49","BAL",1952,27.5
"BAL50","BAL",1953,25.7
"BAL51","BAL",1954,20.1
"BAL52","BAL",1955,20.3
"BAL53","BAL",1956,30.3
"BAL54","BAL",1957,41.4
"BAL55","BAL",1958,32.3
"BAL56","BAL",1959,32.4
"BAL57","BAL",1960,42
"BAL58","BAL",1961,46.4
"BAL59","BAL",1962,35.4
"BAL60","BAL",1963,35.3
"BAL61","BAL",1964,47.1
"BAL62","BAL",1965,42.7
"BAL63","BAL",1966,49.9
"BAL64","BAL",1967,41.1
"BAL65","BAL",1968,46.8
