"","franchID","yearID","WARP","W"
"1","ALT",1884,0,6
"2","ANA",1997,24.97,84
"3","ANA",1998,33.21,85
"4","ANA",1999,13.9,70
"5","ANA",2000,30.75,82
"6","ANA",2001,29.55,75
"7","ANA",2002,50.48,99
"8","ANA",2003,25.13,77
"9","ANA",2004,38.62,92
"10","ANA",2005,47.47,95
"11","ANA",2006,45.61,89
"12","ANA",2007,47.32,94
"13","ANA",2008,34.75,100
"14","ANA",2009,37.03,97
"15","ANA",2010,28.81,80
"16","ANA",2011,36.77,86
"17","ANA",2012,47.82,89
"18","ANA",2013,36.99,78
"19","ANA",2014,47.82,98
"20","ANA",2015,28.36,85
"21","ANA",2016,14.85,74
"22","ANA",2017,28.09,NA
"23","ARI",1998,26.49,65
"24","ARI",1999,54.36,100
"25","ARI",2000,44.61,85
"26","ARI",2001,50.5,92
"27","ARI",2002,56.04,98
"28","ARI",2003,35.54,84
"29","ARI",2004,9.56,51
"30","ARI",2005,28.16,77
"31","ARI",2006,39.67,76
"32","ARI",2007,28.81,90
"33","ARI",2008,37.19,82
"34","ARI",2009,32.72,70
"35","ARI",2010,29.13,65
"36","ARI",2011,34.74,94
"37","ARI",2012,34.37,81
"38","ARI",2013,25.66,81
"39","ARI",2014,15.09,64
"40","ARI",2015,33.61,79
"41","ARI",2016,24.66,69
"42","ARI",2017,50.97,NA
"43","ATL",1966,33.54,85
"44","ATL",1967,27.92,77
"45","ATL",1968,26.12,81
"46","ATL",1969,16.24,93
"47","ATL",1970,23.15,76
"48","ATL",1971,11.71,82
"49","ATL",1972,4.37,70
"50","ATL",1973,25.79,76
"51","ATL",1974,16.26,88
"52","ATL",1975,12.76,67
"53","ATL",1976,11.69,70
"54","ATL",1977,-9.45,61
"55","ATL",1978,-5.23,69
"56","ATL",1979,2.32,66
"57","ATL",1980,27.15,81
"58","ATL",1981,10.88,50
"59","ATL",1982,22.02,89
"60","ATL",1983,31.24,88
"61","ATL",1984,39.81,80
"62","ATL",1985,18.82,66
"63","ATL",1986,31.9,72
"64","ATL",1987,30.63,69
"65","ATL",1988,4.9,54
"66","ATL",1989,22.37,63
"67","ATL",1990,21.96,65
"68","ATL",1991,51.84,94
"69","ATL",1992,44.49,98
"70","ATL",1993,49.63,104
"71","ATL",1994,36.55,68
"72","ATL",1995,46.88,90
"73","ATL",1996,57.96,96
"74","ATL",1997,56.04,101
"75","ATL",1998,73.09,106
"76","ATL",1999,60.98,103
"77","ATL",2000,60.68,95
"78","ATL",2001,43.46,88
"79","ATL",2002,40.56,101
"80","ATL",2003,50.86,101
"81","ATL",2004,50.16,96
"82","ATL",2005,38.87,90
"83","ATL",2006,38.59,79
"84","ATL",2007,40.48,84
"85","ATL",2008,38.05,72
"86","ATL",2009,52.74,86
"87","ATL",2010,54.02,91
"88","ATL",2011,41.45,89
"89","ATL",2012,43.61,94
"90","ATL",2013,41.19,96
"91","ATL",2014,33.77,79
"92","ATL",2015,19.02,67
"93","ATL",2016,29.97,68
"94","ATL",2017,32.63,NA
"95","BAL",1954,20.76,54
"96","BAL",1955,15.03,57
"97","BAL",1956,28.35,69
"98","BAL",1957,37.56,76
"99","BAL",1958,32.1,74
"100","BAL",1959,37.3,74
"101","BAL",1960,42.09,89
"102","BAL",1961,45.61,95
"103","BAL",1962,33.01,77
"104","BAL",1963,30.4,86
"105","BAL",1964,50.16,97
"106","BAL",1965,32.98,94
"107","BAL",1966,38.88,97
"108","BAL",1967,35.57,76
"109","BAL",1968,46.11,91
"110","BAL",1969,59.32,109
"111","BAL",1970,55.31,108
"112","BAL",1971,57.22,101
"113","BAL",1972,30.49,80
"114","BAL",1973,47.87,97
"115","BAL",1974,24.28,91
"116","BAL",1975,41.99,90
"117","BAL",1976,24.32,88
"118","BAL",1977,30.31,97
"119","BAL",1978,43.94,90
"120","BAL",1979,44.57,102
"121","BAL",1980,31.98,100
"122","BAL",1981,15.06,59
"123","BAL",1982,36.9,94
"124","BAL",1983,40.72,98
"125","BAL",1984,36.35,85
"126","BAL",1985,28.58,83
"127","BAL",1986,16.28,73
"128","BAL",1987,9.7,67
"129","BAL",1988,8.3,54
"130","BAL",1989,19.44,87
"131","BAL",1990,21.02,76
"132","BAL",1991,24.63,67
"133","BAL",1992,30.51,89
"134","BAL",1993,32.77,85
"135","BAL",1994,32.49,63
"136","BAL",1995,33.35,71
"137","BAL",1996,43.1,88
"138","BAL",1997,44.18,98
"139","BAL",1998,41.55,79
"140","BAL",1999,38.04,78
"141","BAL",2000,28.41,74
"142","BAL",2001,10.55,63
"143","BAL",2002,17.02,67
"144","BAL",2003,25.56,71
"145","BAL",2004,28.86,78
"146","BAL",2005,32.13,74
"147","BAL",2006,24.37,70
"148","BAL",2007,20.72,69
"149","BAL",2008,17.41,68
"150","BAL",2009,6.65,64
"151","BAL",2010,11.46,66
"152","BAL",2011,13.4,69
"153","BAL",2012,21.98,93
"154","BAL",2013,29.46,85
"155","BAL",2014,40.44,96
"156","BAL",2015,24.75,81
"157","BAL",2016,28.08,89
"158","BAL",2017,22.8,NA
"159","BFN",1879,0,NA
"160","BFN",1880,0,NA
"161","BFN",1881,0,NA
"162","BFN",1882,0,NA
"163","BFN",1883,0,NA
"164","BFN",1884,0,NA
"165","BFN",1885,0,NA
"166","BFP",1890,0,NA
"167","BL1",1872,0,NA
"168","BL1",1873,0,NA
"169","BL1",1874,0,NA
"170","BL2",1882,0,NA
"171","BL2",1883,0,NA
"172","BL2",1884,0,NA
"173","BL2",1885,0,NA
"174","BL2",1886,0,NA
"175","BL2",1887,0,NA
"176","BL2",1888,0,NA
"177","BL2",1889,0,NA
"178","BL3",1890,0,NA
"179","BL3",1891,0,NA
"180","BL4",1873,0,NA
"181","BLA",1901,0,NA
"182","BLA",1902,0,NA
"183","BLF",1914,0,NA
"184","BLF",1915,0,NA
"185","BLN",1892,0,NA
